	tweet_created_at	tweet_text	tweet_user_screen_name
67	2017-05-09 00:36:55	He is a joke... IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/BPgZcex4y6 https://t.co/BPgZcex4y6	Mojie007
68	2017-05-09 01:11:08	IBM's Watson 'is a joke,' says @socialcapital CEO @chamath https://t.co/oFuLTsDpHF by @nataliawwojcik @CNBC	SiliconFunny
69	2017-05-09 00:06:39	#IBM's #Watson 'is a joke,' says Social Capital #CEO #ChamathPalihapitiya https://t.co/sl5pq20i15	DigitalMirko
70	2017-05-09 00:14:28	.@chamath @Google @amazon @IBM I think that's by far the harshest @IBMWatson burn that I've heard so far...	DB_Sweeney
71	2017-05-09 00:16:14	Hacker News - IBM's Watson 'is a Joke,' Says Social Capital CEO Palihapitiya https://t.co/yADnecU1nl	SecNewsBot
72	2017-05-08 23:54:19	IBM's Watson 'is a Joke,' Says Social Capital CEO Palihapitiya https://t.co/k5db0e8akm	ryf_feed
73	2017-05-09 01:09:06	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya KentBrockman #news @8chnewsplus https://t.co/rgHNBNflwB	8chnewsplus
74	2017-05-09 00:20:00	Palihapitiya: IBM's Watson is a joke https://t.co/nlRBkES3l5 via @CNBC	JohndMeyer
75	2017-05-09 00:33:34	New post: IBM’s Watson ‘is a joke,’ says Social Capital CEO Palihapitiya https://t.co/eGqhzhUZb3 #Business #	nanitoday
76	2017-05-09 01:29:18	Healthcare thinks highly of IBM Watson but a big VC disagree https://t.co/4OTWImn8Kk @chamath @GinniRometty @IBMWatson #hcldr #healthcare	ZibdyHealth
77	2017-05-09 01:30:00	Hedge fund manager @chamath calls @elonmusk  'our generation's Thomas Edison' and IBM watson a joke! https://t.co/EZ54loI76H	vipulrawal
78	2017-05-09 01:19:25	Palihapitiya: IBM's Watson is a joke https://t.co/i4WDjPkTVi @dgreller @rdockmiller @chrispatrickmke	vscarpenter
79	2017-05-09 01:10:08	@chamath shows his ignorance about @IBMWatson with his comments in the video. Has stake in @amazon   Hmmmmm? https://t.co/T3gPKiSh8E	joreag
80	2017-05-09 01:28:55	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/WI3KoBv3Sy &lt; actually, @chamath is a joke	evankirstel
81	2017-05-09 00:42:31	"New post: ""IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya"" https://t.co/usJZOVVVnV"	marketstocknews
82	2017-05-09 01:34:54	An interesting commentary.....IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/aFn2enohZI	throwinganet
83	2017-05-09 02:03:19	Hmm &gt;&gt; IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/eK9vu4tBUI  #ai #ibm	johnkoetsier
84	2017-05-09 02:05:13	Chamath is very good at employing shock value, headline grabbing comments at conferences. Wonder if he's short IBM?🤔 https://t.co/6hPWqm178l	HannahOmid
85	2017-05-09 01:53:36	RT @AnthonyWanger: No Punches Pulled: IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/h92BB3ng7V #AI #machinele…	b4028465
86	2017-05-09 02:24:39	RT @bijans: IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/JeDqr6coIU	b4028465
87	2017-05-09 02:31:43	#IBM's #Watson 'is a joke,' says @SocialCapital CEO  #SherlockHolmes @chamath https://t.co/15vfLqpWWN via @cnbc #ai #cognitive #skeptical	CraigMilroy
88	2017-05-09 03:28:38	@chamath #IBN @IBMWatson	pdanielcabral
89	2017-05-09 01:42:09	evankirstel: IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/QY6H55oyCI &lt; actually, chamath is a joke	AfricaAutomate
90	2017-05-09 02:01:25	Palihapitiya: IBMs Watson is a joke $ibm $crm https://t.co/S6DviHMrfm https://t.co/mas5mtylUf https://t.co/617iRACtHL	wlstcom
91	2017-05-09 02:23:23	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/EUnhrGfTPW  Just saw a commercial about @IBMWatson   Impressive?	NicholasPotts_
92	2017-05-09 02:37:04	I wonder what Fred Jelinek would have to say on this. IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/4h0fDv8Xeb	alacunha
93	2017-05-09 02:26:15	Palihapitiya: #IBM's #Watson is a #joke -- #AI https://t.co/w4ycRyvLkz	drexdeford
94	2017-05-09 03:23:12	@chamath Sir. I dont like what you said about @IBMWatson. Anyhoo..Im obsessed and think they are @ the forefront of… https://t.co/7m3HG2MXNe	theajayieffect
95	2017-05-09 02:01:20	.@chamath sums up $ibm Watson perception problem. $crm merger w @Benioff as CEO instantly changes perception? https://t.co/We9LrtsNmU	echotoall
96	2017-05-09 03:36:03	Looking at AI? IBM's Watson 'is a Joke,' Says Social Capital CEO Palihapitiya https://t.co/uSajoOnuXx https://t.co/vw0AiTLKh8	peytonmcnully
97	2017-05-09 02:57:13	hahaha: IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/9LRATxinlN	ThoughtKast
98	2017-05-09 01:52:45	No Punches Pulled: IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/Y5NOVEH23Q #AI #machinelearning #investing	AnthonyWanger
99	2017-05-09 04:53:29	- IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/pmHZT6y8ju #Business in #Colorado $IBM #Tech	SchwartzNow
100	2017-05-09 05:32:12	He bite the hand. Get out all remote Indy workers: @IBM 's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/0Q1whRufgN	6AEEB6A0
101	2017-05-09 03:59:11	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/Eh3lFPquqU via @cnbctech	CNBC
102	2017-05-09 04:19:26	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/sjUBoTRayj great to see a Lankan making highlights #LKA	yasasw
103	2017-05-09 04:01:48	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/JV5VzdwgSS via cnbctech	Behzadon
104	2017-05-09 05:19:29	RT @eringriffith: 🔥chamath: IBM is not innovating cnbc: what about watson? chamath: laughter cnbc: ?? chamath: watson is... a joke. 🔥 htt	b4028465
105	2017-05-09 05:33:20	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya   https://t.co/bKw8A6u0ln #fintech @nataliawwojcik… https://t.co/WQuquHoiDT	SpirosMargaris
106	2017-05-09 05:32:13	Scathing here ... Chamath Palihapitiya says IBM Watson 'is a joke' https://t.co/VLuiehAf5a	ArjunKharpal
107	2017-05-09 04:35:46	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya - CNBC https://t.co/DA8HEYsViY via thanks @trengriffin	walpolet
108	2017-05-09 04:07:06	"RT CNBC ""IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/ozXr7DL5eT via cnbctech"""	1111Tony
109	2017-05-09 04:30:10	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/7W9gfetRt6 #News via @IBNMoney_com #USA	JohnReedz
110	2017-05-09 04:35:11	Social Capital’s Chamath Palihapitiya isn’t a fan of IBM’s #Watson. Strong comments.  https://t.co/Q56YI9puOx #AI	tuomaseerola
111	2017-05-09 05:18:08	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya.  IBM's Watson computing system. Palihapitiya:... https://t.co/vvc4FE05TR	synergy_london
112	2017-05-09 05:00:58	Palihapitiya IBM's Watson is a joke: https://t.co/jb6SntqIeG via @YouTube	TKarachchi
113	2017-05-09 05:07:34	@IBM's #Watson 'is a joke,' says @chamath ,Social Capital CEO Palihapitiya https://t.co/nMP94HFQWv	nitinmathur
114	2017-05-09 05:49:46	Then let Palihapitiya make another Oracle,IBM or a Microsoft. Looks like he needs more pie from Tesla &amp; Amazon. https://t.co/k5IcN7SCfG	georgevargh
115	2017-05-09 05:49:03	Is AI a complete joke?  Haave we been oversold on it's potential?  https://t.co/DsLwDJKWrY Palihapitiya: IBM's Watson is a joke	BothSquared
