news_collected_time	high_freq_words
2014-12-08	"[('US', 23), ('dead', 19), ('3', 13), (""n't"", 13), ('police', 12), ('Uber', 11), ('fire', 11), ('William', 10), ('Tamir Rice', 10), ('CIA', 9), ('report', 9), ('rape', 9), ('hostage', 9), ('Berkeley', 9), ('Obama', 8), ('Prince', 8), ('Kate', 8), ('profiling', 8), ('ban', 8), ('Syria', 7), ('driver', 7), ('kills', 7), ('bear', 7), ('storm', 7), ('8', 7), ('Los Angeles', 7), ('BP', 7), ('Eric Garner', 6), ('vehicle', 6), ('Delhi', 6), ('death', 6), ('New York', 6), ('injured', 6), ('hits', 6), ('19', 6), ('6', 6), ('says', 6), ('21', 6), ('-', 6), ('release', 6), ('LA', 6), ('protest', 6), ('Report', 6), ('airport', 5), ('Yemen', 5), ('shot', 5), ('raid', 5), ('capital', 5), ('Fire', 5), ('banned', 5)]"
2014-12-09	"[('Obama', 17), ('Uber', 17), ('plane', 14), ('crash', 12), ('report', 11), ('Maryland', 11), ('CIA', 10), ('Police', 10), ('Report', 9), ('Korean Air', 9), ('6', 8), ('dead', 8), ('William', 8), ('US', 8), (""n't"", 8), ('President', 8), ('rape', 8), ('Colbert', 8), ('Prince', 7), ('Kate', 7), ('California', 7), ('Brooklyn', 7), ('synagogue', 7), ('nuts', 7), ('visit', 6), ('takes', 6), ('«', 6), ('CBS', 6), ('State', 6), ('stabbed', 6), ('resigns', 6), ('``', 6), (""''"", 6), ('India', 5), ('Senate', 5), ('Protesters', 5), ('student', 5), ('torture', 5), ('NYC', 5), ('Gruber', 5), ('pay', 5), ('asks', 5), ('crashes', 4), ('LA', 4), ('LeBron James', 4), ('Visit', 4), ('NBA', 4), (""'I"", 4), ('Sept.', 4), ('11', 4)]"
2014-12-10	"[('CIA', 15), ('Obama', 14), ('Palestinian', 13), ('minister', 12), ('death', 10), ('dies', 10), ('$', 10), ('policy', 9), ('police', 8), ('bill', 8), ('Israeli', 8), ('report', 8), (""n't"", 7), ('torture', 7), ('Malala', 7), ('new', 7), ('NFL', 7), ('Congress', 6), ('spending', 6), ('Nobel', 6), ('US', 6), ('conduct', 6), ('12', 6), ('Uber', 5), ('Security', 5), ('adviser', 5), ('apologizes', 5), ('remarks', 5), ('Spending', 5), ('Chinese', 5), ('Big', 4), ('says', 4), ('Report', 4), ('stepped', 4), ('Jewish', 4), ('center', 4), ('stabbing', 4), ('health', 4), ('professor', 4), ('storm', 4), ('approves', 4), ('President', 4), ('West Bank', 4), ('-', 4), ('Harvard', 4), ('4', 4), ('Senate', 4), ('personal', 4), ('+video', 4), ('teen', 4)]"
2014-12-11	[('$', 18), ('CIA', 16), ('California', 14), ('found', 13), ('storm', 13), ('Palestinian', 12), ('3', 10), ('car', 9), ('Florida', 9), ('woman', 8), ('family', 8), ('Dodgers', 7), ('report', 7), ('Kabul', 7), ('killed', 7), ('Police', 7), ('laser', 7), ('wins', 7), ('million', 7), ('death', 6), ('protest', 6), ('missing', 6), ('dead', 6), ('US', 6), ('predator', 6), ('police', 6), ('lottery', 6), ('spending', 6), ('Amber', 5), ('body', 5), ('bomber', 5), ('torture', 5), ('Rain', 5), ('Congress', 5), ('puts', 5), ('US Navy', 5), ('Sexual', 5), ('official', 5), ('new', 5), ('bill', 5), ('power', 5), ('staffers', 5), ('Time', 5), ('Man', 4), ('President', 4), ('bus', 4), ('Israeli', 4), ('trade', 4), ('school', 4), ('-', 4)]
2014-12-12	"[('bill', 11), ('storm', 10), ('Palestinian', 10), ('Obama', 10), ('says', 9), ('$', 9), ('shot', 9), ('NFL', 9), ('US', 8), ('CIA', 8), ('Senate', 8), ('prices', 8), ('spending', 7), ('California', 7), ('family', 7), ('acid', 7), ('climate', 6), ('heaven', 6), ('capsule', 5), ('Southern California', 5), ('Japan', 5), (""'Pineapple"", 5), ('Express', 5), ('executive', 5), ('attack', 5), ('Oil', 5), (""n't"", 5), ('police', 5), ('Pope Francis', 5), ('control', 5), ('go', 5), ('domestic', 5), ('violence', 5), ('House', 4), ('Abe', 4), ('-', 4), ('4', 4), ('report', 4), ('Israeli', 4), ('Jewish', 4), ('lower', 4), ('producer', 4), ('traffic', 4), ('dogs', 4), ('2', 4), ('12-year-old', 4), ('Cleveland', 4), ('behind', 4), ('tweeter', 4), ('Twitter', 4)]"
2014-12-13	"[('Police', 24), ('police', 19), ('school', 15), ('shooting', 15), ('missing', 14), ('arrest', 13), ('landslide', 12), ('Indonesia', 12), ('California', 10), ('Portland', 10), ('man', 10), ('Senate', 10), ('Adrian Peterson', 10), ('100', 9), ('high', 9), (""n't"", 8), ('bill', 8), ('meteor', 8), ('spending', 7), ('$', 7), ('1.1', 7), ('Washington', 7), ('Oregon', 7), ('killed', 7), ('Afghanistan', 7), ('NFL', 7), ('shower', 7), ('storm', 6), ('dead', 6), ('Twitter', 6), ('Obama', 6), ('India', 6), ('State', 6), ('Protesters', 6), ('90', 6), ('Indonesian', 6), ('17', 6), ('union', 6), ('Saturday', 6), ('suspect', 6), ('NYC', 6), ('least', 5), ('march', 5), ('Taliban', 5), ('-', 5), ('18', 5), ('March', 5), ('violence', 5), ('appeal', 5), ('funerals', 5)]"
2014-12-14	[('police', 17), ('Japan', 10), ('climate', 9), ('march', 8), ('Abe', 7), ('US', 7), ('Senate', 7), ('deal', 7), ('killed', 7), ('Jeb Bush', 6), ('shooting', 6), ('$', 6), ('Indonesia', 6), ('UN', 6), ('talks', 6), ('Jakell Mitchell', 6), ('Police', 5), ('dead', 5), ('missing', 5), ('landslide', 5), ('arrested', 5), ('1.1', 5), ('spending', 5), ('bill', 5), ('protest', 5), ('Lima', 5), ('wins', 5), ('shot', 5), ('Auburn', 5), ('freshman', 5), ('Thousands', 4), ('Indonesian', 4), ('Man', 4), ('Portland', 4), ('Congress', 4), ('24', 4), ('Funeral', 4), ('passes', 4), ('killings', 4), ('ruling', 4), ('change', 4), ('32', 4), ('football', 4), ('Report', 4), ('2016', 4), ('Turkish', 4), ('Florida', 3), ('election', 3), ('snap', 3), ('Spending', 3)]
2014-12-15	[]
2014-12-16	"[('Taliban', 3), ('2016', 3), ('menorah', 3), ('lighting', 3), ('says', 3), ('Obama', 3), ('$', 3), ('1.1', 3), ('145', 2), ('Jeb', 2), ('Judge', 2), (""''"", 2), ('God', 2), ('mom', 2), ('Pakistan', 2), ('Russians', 2), ('rate', 2), ('hike', 2), ('signs', 2), ('trillion', 2), ('spending', 2), ('bill', 2), ('7000', 2), ('body', 2), ('cameras', 2), ('Russia', 2), ('ruble', 2), ('Hanukkah', 2), ('Besiege Pakistan School', 1), ('Leaving', 1), ('Dead', 1), ('Bush', 1), ('decision', 1), ('explore', 1), ('presidential', 1), ('bid', 1), ('scrambles', 1), ('GOP', 1), ('field', 1), ('Public', 1), ('kicks', 1), ('Athens', 1), ('celebration', 1), ('Hanukkah Russians Sell Ruble', 1), ('State-Run', 1), ('Media', 1), ('Says', 1), ('Crisis', 1), ('Control Pennsylvania', 1), ('Man', 1)]"
2014-12-17	"[('Pakistan', 16), ('Jeb Bush', 16), ('Obama', 13), ('school', 12), ('Cuba', 11), ('US', 10), ('Hamas', 9), ('2016', 8), ('Russia', 8), ('Congress', 8), ('EU', 8), ('list', 8), ('fracking', 8), ('attack', 7), ('meningitis', 7), ('outbreak', 7), ('49ers', 7), ('ban', 7), ('siege', 6), ('Taliban', 6), ('Russian', 6), (""n't"", 6), ('GOP', 6), ('terror', 6), ('massacre', 6), ('Judge', 6), ('relations', 6), ('US-Cuba', 6), ('killed', 5), ('race', 5), ('bill', 5), ('investigation', 5), ('says', 5), ('TV', 5), ('Hanukkah', 5), ('First', 5), ('mistaken', 5), ('14', 5), ('could', 5), ('role', 5), ('Cuomo', 5), ('years', 5), ('judge', 4), ('immigration', 4), ('Senate', 4), ('doubt', 4), ('eyeing', 4), ('Police', 4), ('tax', 4), ('ends', 4)]"
2014-12-18	"[('US', 4), ('Iraq', 4), ('leaders', 3), ('calls', 3), ('White House', 3), ('fence', 3), ('Obama', 3), ('officials', 3), ('say', 3), ('Stephen Colbert', 3), ('Colorado', 3), ('Australia', 3), ('Cuba', 2), ('satisfied', 2), ('Pentagon', 2), ('says', 2), ('Panel', 2), ('Secret Service', 2), ('Say', 2), ('Man', 2), (""'The"", 2), ('Colbert Report', 2), ('Several', 2), ('ISIS', 2), ('killed', 2), ('fire', 2), ('children', 2), ('home', 2), ('police', 2), ('bigger', 2), ('court', 2), ('Home', 2), ('Killed', 2), ('Nebraska', 2), ('Oklahoma', 2), ('8', 2), ('businesses', 1), ('tourists', 1), ('opportunities', 1), ('abound', 1), ('Authorities', 1), ('increasingly', 1), ('N.', 1), ('Korea', 1), ('behind', 1), ('hack', 1), ('Islamic', 1), ('State', 1), ('air', 1), ('strikes', 1)]"
2014-12-19	"[('Obama', 26), ('Pakistan', 19), ('Cuba', 18), ('US', 18), ('children', 15), ('killed', 12), ('dead', 11), ('found', 11), ('Australia', 10), ('8', 10), ('State', 9), ('Colorado', 9), ('Cairns', 9), (""n't"", 8), ('school', 8), ('home', 7), ('militants', 7), ('deaths', 7), ('Secret Service', 6), ('massacre', 6), ('says', 6), ('mother', 6), ('Eight', 5), ('Children', 5), ('Islamic', 5), ('say', 5), ('Iraq', 5), ('bail', 5), ('relations', 5), ('court', 5), ('attack', 5), ('suspect', 5), ('arrested', 5), ('US-Cuba', 5), ('dies', 5), ('New York', 5), ('boy', 5), ('5', 5), ('death', 5), ('James Holmes', 5), ('parents', 5), ('Staples', 5), ('Florida', 5), ('leaders', 4), ('air', 4), ('strikes', 4), ('Nebraska', 4), ('ISIS', 4), ('«', 4), ('CBS', 4)]"
